,count,lat,lng
0,127.838,29.995449382446232,121.61663045279363
1,130.43,29.98910265649402,121.59135113458163
2,89.31105263157895,29.995449382446232,121.61663045279363
3,150.64157894736843,29.974618572153986,121.60503522273274
4,127.32333333333334,29.990327332716657,121.58704934173313
5,146.53333333333333,29.986730043010496,121.60090660162719
6,147.6930693069307,29.977383361271976,121.60694806999352
7,137.14916666666667,29.986643998079135,121.60674013831888
8,185.0,29.995449382446232,121.61663045279363
9,147.48,29.995449382446232,121.61663045279363
10,97.83958333333334,30.038507312926647,121.56069322354304
11,92.05225,30.03923063030668,121.5615392593503
12,103.98639999999999,30.035482287085863,121.55945022114106
13,89.80940298507463,30.034248928579014,121.56097088977616
14,135.25,29.995449382446232,121.61663045279363
15,173.8653846153846,29.97839905559208,121.60320057386487
16,193.43599999999998,29.97839905559208,121.60320057386487
17,131.69111111111113,29.94441273261784,121.68018357380642
18,167.61053333333334,29.961587849316093,121.59893407094832
19,179.49191358024692,29.964773577464587,121.60630786292796
20,184.29166666666669,29.96463090067194,121.60301992013534
21,185.2688888888889,29.96448237388406,121.59930472078467
22,102.08166666666666,29.995449382446232,121.61663045279363
23,140.49385542168676,29.977246042018972,121.59604219913969
24,137.37884615384615,29.985262425001128,121.59863444473879
25,151.21466666666666,29.974343216180813,121.59301327555434
26,170.28,29.995449382446232,121.61663045279363
27,163.05714285714285,29.995449382446232,121.61663045279363
28,159.32513513513513,29.995449382446232,121.61663045279363
29,147.8542857142857,29.9839763807787,121.59801946119364
30,145.02406779661015,29.975100810187946,121.58006455466635
31,79.84333333333333,30.03573539718126,121.51905100322062
32,88.67166666666667,30.03573539718126,121.51905100322062
33,105.8120792079208,30.034641953853317,121.56029285416706
34,175.524,29.995449382446232,121.61663045279363
35,133.33,29.980299003308,121.59620994421903
36,56.25,29.995449382446232,121.61663045279363
37,79.71333333333332,29.995449382446232,121.61663045279363
38,158.8325,29.995449382446232,121.61663045279363
39,159.33833333333334,29.962779907066928,121.60585015650805
40,151.4463829787234,29.987855818990244,121.59040707837234
41,142.934,29.992308347619634,121.59554491248072
42,140.436875,29.992308347619634,121.59554491248072
43,130.30369047619047,29.991939331166968,121.5917941590963
44,159.7398039215686,29.97063556044748,121.59269025477441
45,173.68,29.93890392189764,121.62071229867406
46,121.78,29.98757653300508,121.61926597470175
47,126.25742857142858,29.981830276746628,121.60709393145234
48,134.3272641509434,29.982840398096556,121.60362335236994
49,167.0504761904762,29.97745139157915,121.59960998745451
50,151.78674418604652,29.9834416926323,121.60717302994739
51,167.47815789473682,29.97477018361818,121.5999721492021
52,100.0,29.9917452019389,121.59369233523148
53,130.89985915492957,29.980299003308,121.59620994421903
54,151.60796875,29.980378811794886,121.59999749309544
55,143.053,29.995449382446232,121.61663045279363
56,140.48318181818183,29.99307843806163,121.59792744237046
